A|A|A|A|A
Matemática        | Língua Portuguesa | Língua Portuguesa | História          | Inglês            
Língua Portuguesa | Inglês            | Mind Makers       | História          | Artes             
Língua Portuguesa | Matemática        | Matemática        | Inglês            | Educação Física   
Inglês            | Artes             | Inglês            | Geografia         | Geografia         
Língua Portuguesa | Música            | Matemática        | Língua Portuguesa | Língua Portuguesa 
Ed. Financeira    | Ciências          | Ensino Religioso  | Ciências          | Matemática        
A|A|A|A|A
Língua Portuguesa | Matemática        | Ed. Financeira    | Matemática       | Geografia         
História          | Matemática        | Língua Portuguesa | Inglês           | Língua Portuguesa 
Inglês            | Artes             | Inglês            | Geografia        | História          
Mind Makers       | Inglês            | Língua Portuguesa | Matemática       | Inglês            
Matemática        | Língua Portuguesa | Língua Portuguesa | Ciências         | Artes             
Língua Portuguesa | Música            | Ciências          | Ensino Religioso | Educação Física   
A|A|A|A|A
Inglês     | Inglês            | Inglês            | Língua Portuguesa | Matemática        
Matemática | História          | História          | Ed. Financeira    | Inglês            
Geografia  | Língua Portuguesa | Língua Portuguesa | Matemática        | Língua Portuguesa 
Geografia  | Mind Makers       | Matemática        | Inglês            | Língua Portuguesa 
Artes      | Ciências          | Ciências          | Ensino Religioso  | Educação Física   
Música     | Matemática        | Língua Portuguesa | Língua Portuguesa | Artes             
A|A|A|A|A
Música         | Geografia         | Geografia        | Inglês            | Língua Portuguesa 
Inglês         | Artes             | Inglês           | Língua Portuguesa | Matemática        
Ed. Financeira | Inglês            | História         | Língua Portuguesa | Inglês            
Artes          | Língua Portuguesa | História         | Língua Portuguesa | Educação Física   
Ciências       | Matemática        | Ensino Religioso | Matemática        | Matemática        
Ciências       | Língua Portuguesa | Mind Makers      | Matemática        | Língua Portuguesa 
